product_name,brands,nutriscore_grade,nova_group,energy-kcal_100g,sugars_100g,sodium_100g,saturated-fat_100g,fat_100g,carbohydrates_100g,proteins_100g,fiber_100g,additives_n,url,pnns_groups_1,pnns_groups_2,ID_Match
Leche San Marcos,San Marcos,c,1.0,60.0,4.8,0.05,2.08,3.2,4.8,3.1,0.0,0.0,http://world-en.openfoodfacts.org/product/7501158414471/leche-san-marcos,Milk and dairy products,Milk and yogurt,LECHE SAN MARCOS | SAN MARCOS
Leche Semidescremada San Marcos,San Marcos,b,1.0,,4.79,0.0508,1.04,1.58,4.79,3.08,0.0,0.0,http://world-en.openfoodfacts.org/product/7501158414488/leche-semidescremada-san-marcos,Milk and dairy products,Milk and yogurt,LECHE SEMIDESCREMADA SAN MARCOS | SAN MARCOS
Leche baja en grasa San Marcos,San Marcos,b,1.0,44.2,4.79,0.0508,0.917,1.42,4.79,3.08,0.0,0.0,http://world-en.openfoodfacts.org/product/7501158414495/leche-baja-en-grasa-san-marcos,Milk and dairy products,Milk and yogurt,LECHE BAJA EN GRASA SAN MARCOS | SAN MARCOS
Leche Deslactosada,San Marcos,b,1.0,48.0,4.8,0.046,1.1,1.8,4.8,3.1,0.0,0.0,http://world-en.openfoodfacts.org/product/7501158414501/leche-deslactosada-san-marcos,Milk and dairy products,Milk and yogurt,LECHE DESLACTOSADA | SAN MARCOS
Leche Deslactosada light San Marcos,San Marcos,b,4.0,36.0,4.8,0.046,0.3,0.5,4.8,3.1,0.0,0.0,http://world-en.openfoodfacts.org/product/7501158414518/leche-deslactosada-light-san-marcos,Milk and dairy products,Milk and yogurt,LECHE DESLACTOSADA LIGHT SAN MARCOS | SAN MARCOS
Más leche amor que nutre,Pasteurizadora Aguascalientes,unknown,4.0,,,,,,,,,4.0,http://world-en.openfoodfacts.org/product/7501158414617/mas-leche-amor-que-nutre-pasteurizadora-aguascalientes,unknown,unknown,MÁS LECHE AMOR QUE NUTRE | PASTEURIZADORA AGUASCALIENTES
Lechita sabor chocolate,San Marcos,unknown,,177.0,8.7,0.0,0.6,1.2,9.4,3.1,,,http://world-en.openfoodfacts.org/product/7501158415317/lechita-sabor-chocolate-san-marcos,unknown,unknown,LECHITA SABOR CHOCOLATE | SAN MARCOS
Leche granja,Granja,b,,46.0,4.8,0.05,1.0,1.6,4.8,3.1,0.0,0.0,http://world-en.openfoodfacts.org/product/7501158415522/leche-granja,Milk and dairy products,Milk and yogurt,LECHE GRANJA | GRANJA
Crema,León,unknown,,249.0,3.3,0.185,16.3,25.0,3.8,2.3,0.0,,http://world-en.openfoodfacts.org/product/7501161500062/crema-leon,unknown,unknown,CREMA | LEÓN
Leche entera,Leche León,e,1.0,143.5,11.5,0.13393928,4.86,7.5,11.5,7.5,0.0,0.0,http://world-en.openfoodfacts.org/product/7501161500215/leche-entera-leche-leon,Milk and dairy products,Milk and yogurt,LECHE ENTERA | LECHE LEÓN
Leche deslactosada,Leche León,unknown,,44.0,4.6,0.055,0.9,1.5,4.6,1.5,0.0,,http://world-en.openfoodfacts.org/product/7501161502202/leche-deslactosada-leche-leon,unknown,unknown,LECHE DESLACTOSADA | LECHE LEÓN
melox plus,melox,unknown,,,,,,,,,,0.0,http://world-en.openfoodfacts.org/product/7501165002906/melox-plus,unknown,unknown,MELOX PLUS | MELOX
